OTU ,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
42,"d:Eukaryota(0.8542),p:Ochrophyta(0.2392),c:Diatomea(0.1337),o:Coscinodiscophytina(0.0167),f:Fragilariales(0.0067),g:Thalassionema(0.0017)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Thalassionema,
43,"d:Eukaryota(0.9220),p:Platyhelminthes(0.2392),c:Rhabditophora(0.1337),o:Rhabdocoela(0.0252),f:Unknown_Family_1003592(0.0117),g:Unknown_Genus_1001513(0.0032)",Eukaryota,Platyhelminthes,Rhabditophora,Rhabdocoela,Unknown_Family_1003592,Unknown_Genus_1001513,
44,"d:Eukaryota(1.0000),p:Arthropoda(0.2717),c:Arachnida(0.1635),o:Araneae(0.0424),f:Unknown_Family_1003336(0.0209),g:Unknown_Genus_1001216(0.0062)",Eukaryota,Arthropoda,Arachnida,Araneae,Unknown_Family_1003336,Unknown_Genus_1001216,
45,"d:Eukaryota(1.0000),p:Ciliophora(0.9786),c:Intramacronucleata(0.9902),o:Spirotrichea(0.9098),f:Oligotrichia(0.8629),g:uncultured_9191(0.1403)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,uncultured_9191,
46,"d:Eukaryota(1.0000),p:Mollusca(0.8111),c:Bivalvia(0.9394),o:Veneroida(0.8298),f:Unknown_Family_1003496(0.9060),g:Unknown_Genus_1001391(0.8635)",Eukaryota,Mollusca,Bivalvia,Veneroida,Unknown_Family_1003496,Unknown_Genus_1001391,
47,"d:Eukaryota(1.0000),p:Ochrophyta(0.5645),c:Diatomea(0.4105),o:Coscinodiscophytina(0.2323),f:Fragilariales(0.1223),g:Licmophora(0.0357)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
48,"d:Eukaryota(1.0000),p:Dinoflagellata(0.5646),c:Dinophyceae(0.4661),o:Gymnodiniphycidae(0.3108),f:Gymnodinium_clade(0.2691),g:Spiniferodinium(0.2265)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Spiniferodinium,
49,"d:Eukaryota(1.0000),p:Ochrophyta(0.7719),c:Diatomea(0.8012),o:Bacillariophytina(0.3022),f:Bacillariophyceae(0.1693),g:Nitzschia(0.0588)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
50,"d:Eukaryota(0.7411),p:Ochrophyta(0.1458),c:Diatomea(0.0793),o:Bacillariophytina(0.0145),f:Bacillariophyceae(0.0056),g:Nitzschia(0.0015)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
51,"d:Eukaryota(0.9672),p:Arthropoda(0.2392),c:Arachnida(0.1259),o:Araneae(0.0212),f:Unknown_Family_1003336(0.0090),g:Unknown_Genus_1001216(0.0019)",Eukaryota,Arthropoda,Arachnida,Araneae,Unknown_Family_1003336,Unknown_Genus_1001216,
52,"d:Eukaryota(0.6281),p:Annelida(0.1192),c:Polychaeta(0.0637),o:Phyllodocida(0.0123),f:Unknown_Family_1003320(0.0044),g:Unknown_Genus_1001197(0.0014)",Eukaryota,Annelida,Polychaeta,Phyllodocida,Unknown_Family_1003320,Unknown_Genus_1001197,
53,"d:Eukaryota(1.0000),p:Ciliophora(0.4428),c:Intramacronucleata(0.3267),o:Spirotrichea(0.2323),f:Hypotrichia(0.0670),g:Holosticha(0.0180)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Holosticha,
54,"d:Eukaryota(0.6733),p:Annelida(0.1325),c:Polychaeta(0.0715),o:Phyllodocida(0.0134),f:Unknown_Family_1003320(0.0050),g:Unknown_Genus_1001197(0.0015)",Eukaryota,Annelida,Polychaeta,Phyllodocida,Unknown_Family_1003320,Unknown_Genus_1001197,
55,"d:Eukaryota(0.9672),p:Unknown_Phylum_1002968(0.2258),c:Chlorophyceae(0.1181),o:Unknown_Order_1002976(0.0201),f:Unknown_Family_1002977(0.0084),g:Unknown_Genus_1001093(0.0019)",Eukaryota,Unknown_Phylum_1002968,Chlorophyceae,Unknown_Order_1002976,Unknown_Family_1002977,Unknown_Genus_1001093,
56,"d:Eukaryota(0.9220),p:Annelida(0.2717),c:Polychaeta(0.1635),o:Unknown_Order_1003322(0.0597),f:Orbiniidae(0.0302),g:Unknown_Genus_1001203(0.0091)",Eukaryota,Annelida,Polychaeta,Unknown_Order_1003322,Orbiniidae,Unknown_Genus_1001203,
57,"d:Eukaryota(0.4699),p:Mollusca(0.0658),c:Bivalvia(0.0326),o:Veneroida(0.0078),f:Unknown_Family_1003496(0.0021),g:Unknown_Genus_1001391(0.0012)",Eukaryota,Mollusca,Bivalvia,Veneroida,Unknown_Family_1003496,Unknown_Genus_1001391,
58,"d:Eukaryota(0.7638),p:Annelida(0.1592),c:Polychaeta(0.0870),o:Terebellida(0.0156),f:Unknown_Family_1003328(0.0061),g:Unknown_Genus_1001209(0.0016)",Eukaryota,Annelida,Polychaeta,Terebellida,Unknown_Family_1003328,Unknown_Genus_1001209,
59,"d:Eukaryota(1.0000),p:Ochrophyta(0.2888),c:Diatomea(0.1635),o:Coscinodiscophytina(0.0252),f:Fragilariales(0.0117),g:Licmophora(0.0032)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
60,"d:Eukaryota(0.6055),p:Dinoflagellata(0.1058),c:Dinophyceae(0.0559),o:Gymnodiniphycidae(0.0112),f:Unknown_Family_1003853(0.0039),g:Gyrodinium(0.0013)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Unknown_Family_1003853,Gyrodinium,
61,"d:Eukaryota(0.7638),p:Ochrophyta(0.1858),c:Diatomea(0.1026),o:Bacillariophytina(0.0156),f:Bacillariophyceae(0.0061),g:Nitzschia(0.0015)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
62,"d:Eukaryota(0.7638),p:Ochrophyta(0.1725),c:Diatomea(0.0870),o:Coscinodiscophytina(0.0156),f:Fragilariales(0.0061),g:Licmophora(0.0016)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
63,"d:Eukaryota(1.0000),p:Ochrophyta(0.7100),c:Diatomea(0.7732),o:Coscinodiscophytina(0.2803),f:Fragilariales(0.1504),g:Licmophora(0.0507)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
64,"d:Eukaryota(1.0000),p:Annelida(0.4600),c:Polychaeta(0.3431),o:Phyllodocida(0.2495),f:Unknown_Family_1003320(0.1315),g:Unknown_Genus_1001197(0.0426)",Eukaryota,Annelida,Polychaeta,Phyllodocida,Unknown_Family_1003320,Unknown_Genus_1001197,
65,"d:Eukaryota(0.8090),p:Cnidaria(0.1725),c:Hydrozoa(0.0948),o:Trachymedusae(0.0167),f:Unknown_Family_1003277(0.0067),g:Unknown_Genus_1001574(0.0017)",Eukaryota,Cnidaria,Hydrozoa,Trachymedusae,Unknown_Family_1003277,Unknown_Genus_1001574,
66,"d:Eukaryota(1.0000),p:Annelida(0.2546),c:Polychaeta(0.1472),o:Eunicida(0.0252),f:Unknown_Family_1003317(0.0117),g:Unknown_Genus_1001194(0.0032)",Eukaryota,Annelida,Polychaeta,Eunicida,Unknown_Family_1003317,Unknown_Genus_1001194,
67,"d:Eukaryota(0.6281),p:Arthropoda(0.1325),c:Insecta(0.0715),o:Orthoptera(0.0112),f:Unknown_Family_1003417(0.0039),g:Unknown_Genus_1001292(0.0013)",Eukaryota,Arthropoda,Insecta,Orthoptera,Unknown_Family_1003417,Unknown_Genus_1001292,
68,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.3231),c:Chlorophyceae(0.1961),o:Unknown_Order_1002976(0.0942),f:Unknown_Family_1002977(0.0486),g:Unknown_Genus_1001093(0.0150)",Eukaryota,Unknown_Phylum_1002968,Chlorophyceae,Unknown_Order_1002976,Unknown_Family_1002977,Unknown_Genus_1001093,
69,"d:Eukaryota(0.8090),p:Arthropoda(0.1725),c:Arachnida(0.0948),o:Opiliones(0.0167),f:Unknown_Family_1003337(0.0067),g:Unknown_Genus_1001217(0.0017)",Eukaryota,Arthropoda,Arachnida,Opiliones,Unknown_Family_1003337,Unknown_Genus_1001217,
70,"d:Eukaryota(1.0000),p:Ochrophyta(0.3915),c:Diatomea(0.2778),o:Coscinodiscophytina(0.0769),f:Fragilariales(0.0394),g:Licmophora(0.0121)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
71,"d:Eukaryota(0.2438),p:Arthropoda(0.0184),c:Insecta(0.0080),o:Diptera(0.0032),f:Unknown_Family_1003408(0.0004),g:Unknown_Genus_1001283(0.0007)",Eukaryota,Arthropoda,Insecta,Diptera,Unknown_Family_1003408,Unknown_Genus_1001283,
72,"d:Eukaryota(0.8768),p:Brachiopoda(0.1858),c:Unknown_Class_1003448(0.1026),o:Unknown_Order_1003449(0.0178),f:Unknown_Family_1003450(0.0073),g:Unknown_Genus_1001313(0.0017)",Eukaryota,Brachiopoda,Unknown_Class_1003448,Unknown_Order_1003449,Unknown_Family_1003450,Unknown_Genus_1001313,
73,"d:Eukaryota(0.9898),p:Unknown_Phylum_1002968(0.2717),c:Chlorophyceae(0.1181),o:Chlamydomonadales(0.0201),f:Unknown_Family_1002980(0.0084),g:Chlamydomonas(0.0019)",Eukaryota,Unknown_Phylum_1002968,Chlorophyceae,Chlamydomonadales,Unknown_Family_1002980,Chlamydomonas,
74,"d:Eukaryota(1.0000),p:Ochrophyta(0.7100),c:Diatomea(0.7732),o:Coscinodiscophytina(0.2912),f:Fragilariales(0.1599),g:Licmophora(0.0426)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
75,"d:Eukaryota(1.0000),p:Ochrophyta(0.5653),c:Diatomea(0.3969),o:Coscinodiscophytina(0.1632),f:Fragilariales(0.0854),g:Licmophora(0.0269)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
76,"d:Eukaryota(1.0000),p:Ciliophora(0.9817),c:Intramacronucleata(0.9920),o:Spirotrichea(0.9185),f:Hypotrichia(0.7373),g:Trachelostyla(0.1403)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Trachelostyla,
77,"d:Eukaryota(0.9446),p:Ciliophora(0.2717),c:Intramacronucleata(0.1635),o:Spirotrichea(0.0201),f:Euplotia(0.0084),g:Diophrys(0.0019)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
78,"d:Eukaryota(0.4246),p:Dinoflagellata(0.0658),c:Dinophyceae(0.0326),o:Gymnodiniphycidae(0.0078),f:Gymnodinium_clade(0.0021),g:Erythropsidinium(0.0011)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Erythropsidinium,
79,"d:Eukaryota(1.0000),p:Ochrophyta(0.5653),c:Diatomea(0.3969),o:Bacillariophytina(0.1632),f:Bacillariophyceae(0.0854),g:Psammodictyon(0.0269)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,
80,"d:Eukaryota(0.8768),p:Basidiomycota(0.1992),c:Agaricomycetes(0.1104),o:Hymenochaetales(0.0189),f:Rickenellaceae(0.0078),g:Resinicium(0.0017)",Eukaryota,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Resinicium,
81,"d:Eukaryota(1.0000),p:Florideophycidae(1.0000),c:Corallinophycidae(1.0000),o:Unknown_Order_1003045(1.0000),f:Unknown_Family_1003046(1.0000),g:Jania(0.7768)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Jania,
82,"d:Eukaryota(1.0000),p:Cnidaria(0.7922),c:Anthozoa(0.5773),o:Actiniaria(0.4808),f:Unknown_Family_1003256(0.4048),g:Unknown_Genus_1001555(0.4711)",Eukaryota,Cnidaria,Anthozoa,Actiniaria,Unknown_Family_1003256,Unknown_Genus_1001555,
83,"d:Eukaryota(1.0000),p:Ochrophyta(0.2392),c:Diatomea(0.1337),o:Bacillariophytina(0.0252),f:Bacillariophyceae(0.0117),g:Nitzschia(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
84,"d:Eukaryota(1.0000),p:Protalveolata(0.5113),c:Syndiniales(0.3920),o:Unknown_Order_1003905(0.2912),f:Unknown_Family_1003906(0.1599),g:Amoebophrya(0.0547)",Eukaryota,Protalveolata,Syndiniales,Unknown_Order_1003905,Unknown_Family_1003906,Amoebophrya,
85,"d:Eukaryota(0.8768),p:Ochrophyta(0.2125),c:Diatomea(0.1181),o:Bacillariophytina(0.0189),f:Bacillariophyceae(0.0078),g:Nitzschia(0.0017)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
86,"d:Eukaryota(1.0000),p:Annelida(0.4086),c:Polychaeta(0.2941),o:Phyllodocida(0.1632),f:Unknown_Family_1003320(0.0854),g:Unknown_Genus_1001197(0.0269)",Eukaryota,Annelida,Polychaeta,Phyllodocida,Unknown_Family_1003320,Unknown_Genus_1001197,
87,"d:Eukaryota(0.8542),p:Brachiopoda(0.1725),c:Unknown_Class_1003448(0.0948),o:Unknown_Order_1003449(0.0167),f:Unknown_Family_1003450(0.0067),g:Unknown_Genus_1001313(0.0017)",Eukaryota,Brachiopoda,Unknown_Class_1003448,Unknown_Order_1003449,Unknown_Family_1003450,Unknown_Genus_1001313,
88,"d:Eukaryota(1.0000),p:Priapulida(0.2546),c:Unknown_Class_1003676(0.1472),o:Unknown_Order_1003677(0.0424),f:Tubiluchidae(0.0209),g:Unknown_Genus_1001545(0.0062)",Eukaryota,Priapulida,Unknown_Class_1003676,Unknown_Order_1003677,Tubiluchidae,Unknown_Genus_1001545,
89,"d:Eukaryota(0.7638),p:Arthropoda(0.1592),c:Arachnida(0.0870),o:Araneae(0.0156),f:Unknown_Family_1003336(0.0061),g:Unknown_Genus_1001216(0.0016)",Eukaryota,Arthropoda,Arachnida,Araneae,Unknown_Family_1003336,Unknown_Genus_1001216,
90,"d:Eukaryota(1.0000),p:Ochrophyta(0.4771),c:Diatomea(0.2941),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
