"","OTU","s_A2","s_A3","s_A4","s_B1","s_B2","s_B4","s_C1","s_C2","s_C3","w_A1","w_A2","w_A3","w_A4","w_B1","w_B2","w_B3","w_B4","w_C1","w_C2","w_C3","w_C4","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"11",12,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8090),p:Annelida(0.1725),c:Polychaeta(0.0948),o:Terebellida(0.0167),f:Unknown_Family_1003328(0.0067),g:Unknown_Genus_1001209(0.0017)","Eukaryota","Annelida","Polychaeta","Terebellida","Unknown_Family_1003328","Unknown_Genus_1001209",NA
"12",13,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,"d:Eukaryota(0.6281),p:Ochrophyta(0.1192),c:Diatomea(0.0637),o:Coscinodiscophytina(0.0123),f:Fragilariales(0.0044),g:Licmophora(0.0014)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"13",14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,"d:Eukaryota(1.0000),p:Florideophycidae(0.9943),c:Corallinophycidae(0.9989),o:Unknown_Order_1003045(0.9975),f:Unknown_Family_1003046(0.9941),g:Marginisporum(0.2265)","Eukaryota","Florideophycidae","Corallinophycidae","Unknown_Order_1003045","Unknown_Family_1003046","Marginisporum",NA
"14",15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.2546),c:Chlorophyceae(0.1472),o:Unknown_Order_1002976(0.0424),f:Unknown_Family_1002977(0.0209),g:Unknown_Genus_1001093(0.0062)","Eukaryota","Unknown_Phylum_1002968","Chlorophyceae","Unknown_Order_1002976","Unknown_Family_1002977","Unknown_Genus_1001093",NA
"15",16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Arthropoda(0.2717),c:Arachnida(0.1635),o:Araneae(0.0597),f:Unknown_Family_1003336(0.0302),g:Unknown_Genus_1001216(0.0091)","Eukaryota","Arthropoda","Arachnida","Araneae","Unknown_Family_1003336","Unknown_Genus_1001216",NA
"16",17,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7879),c:Rhodymeniophycidae(0.3594),o:Unknown_Order_1003051(0.2668),f:Unknown_Family_1003052(0.1410),g:Betaphycus(0.0239)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Betaphycus",NA
"17",18,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.5650),c:Ulvophyceae(0.3594),o:Unknown_Order_1003017(0.2668),f:Unknown_Family_1003018(0.1410),g:Unknown_Genus_1001105(0.0466)","Eukaryota","Unknown_Phylum_1002968","Ulvophyceae","Unknown_Order_1003017","Unknown_Family_1003018","Unknown_Genus_1001105",NA
"18",19,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.3915),c:Rhodymeniophycidae(0.1798),o:Unknown_Order_1003051(0.0769),f:Unknown_Family_1003052(0.0394),g:Unknown_Genus_1001112(0.0032)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Unknown_Genus_1001112",NA
"19",20,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,"d:Eukaryota(0.7411),p:Ochrophyta(0.1858),c:Diatomea(0.1026),o:Bacillariophytina(0.0145),f:Bacillariophyceae(0.0056),g:Nitzschia(0.0015)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"20",21,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8090),p:Annelida(0.1725),c:Polychaeta(0.0948),o:Terebellida(0.0167),f:Unknown_Family_1003328(0.0067),g:Unknown_Genus_1001209(0.0017)","Eukaryota","Annelida","Polychaeta","Terebellida","Unknown_Family_1003328","Unknown_Genus_1001209",NA
"21",22,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.5113),c:Diatomea(0.3757),o:Coscinodiscophytina(0.1287),f:Fragilariales(0.0670),g:Licmophora(0.0210)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"22",24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,"d:Eukaryota(0.7185),p:Ochrophyta(0.1592),c:Diatomea(0.0793),o:Coscinodiscophytina(0.0145),f:Fragilariales(0.0056),g:Licmophora(0.0015)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"23",25,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.2888),c:Trebouxiophyceae(0.1472),o:Trebouxiales(0.0252),f:Unknown_Family_1003016(0.0117),g:Trebouxia(0.0032)","Eukaryota","Unknown_Phylum_1002968","Trebouxiophyceae","Trebouxiales","Unknown_Family_1003016","Trebouxia",NA
"24",26,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.2546),c:Chlorophyceae(0.1472),o:Chlamydomonadales(0.0424),f:Unknown_Family_1002980(0.0209),g:Chlamydomonas(0.0062)","Eukaryota","Unknown_Phylum_1002968","Chlorophyceae","Chlamydomonadales","Unknown_Family_1002980","Chlamydomonas",NA
"25",27,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8542),p:Arthropoda(0.1858),c:Arachnida(0.1026),o:Araneae(0.0178),f:Unknown_Family_1003336(0.0073),g:Unknown_Genus_1001216(0.0017)","Eukaryota","Arthropoda","Arachnida","Araneae","Unknown_Family_1003336","Unknown_Genus_1001216",NA
"26",28,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.7719),c:Trebouxiophyceae(0.4036),o:Chlorellales(0.2912),f:Unknown_Family_1003011(0.1599),g:Nannochloris(0.0547)","Eukaryota","Unknown_Phylum_1002968","Trebouxiophyceae","Chlorellales","Unknown_Family_1003011","Nannochloris",NA
"27",29,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9220),p:Arthropoda(0.2125),c:Arachnida(0.1181),o:Araneae(0.0189),f:Unknown_Family_1003336(0.0078),g:Unknown_Genus_1001216(0.0018)","Eukaryota","Arthropoda","Arachnida","Araneae","Unknown_Family_1003336","Unknown_Genus_1001216",NA
"28",30,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,"d:Eukaryota(0.7638),p:Ochrophyta(0.1725),c:Diatomea(0.0948),o:Coscinodiscophytina(0.0145),f:Fragilariales(0.0056),g:Licmophora(0.0015)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"29",31,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Priapulida(0.2546),c:Unknown_Class_1003676(0.1472),o:Unknown_Order_1003677(0.0424),f:Tubiluchidae(0.0209),g:Unknown_Genus_1001545(0.0062)","Eukaryota","Priapulida","Unknown_Class_1003676","Unknown_Order_1003677","Tubiluchidae","Unknown_Genus_1001545",NA
"30",32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Unknown_Phylum_1003810(0.5646),c:Unknown_Class_1003811(0.4661),o:Unknown_Order_1003812(0.3108),f:Unknown_Family_1003813(0.2691),g:Unknown_Genus_1001715(0.2265)","Eukaryota","Unknown_Phylum_1003810","Unknown_Class_1003811","Unknown_Order_1003812","Unknown_Family_1003813","Unknown_Genus_1001715",NA
"31",33,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.7254),c:Diatomea(0.7732),o:Bacillariophytina(0.3371),f:Mediophyceae(0.2124),g:Chaetoceros(0.1114)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Chaetoceros",NA
"32",34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8090),p:Priapulida(0.1858),c:Unknown_Class_1003676(0.1026),o:Unknown_Order_1003677(0.0178),f:Tubiluchidae(0.0073),g:Unknown_Genus_1001545(0.0017)","Eukaryota","Priapulida","Unknown_Class_1003676","Unknown_Order_1003677","Tubiluchidae","Unknown_Genus_1001545",NA
"33",35,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,"d:Eukaryota(1.0000),p:Dinoflagellata(0.6658),c:Dinophyceae(0.6858),o:Gymnodiniphycidae(0.6617),f:Suessiaceae(0.7373),g:Pelagodinium(0.1114)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Suessiaceae","Pelagodinium",NA
"34",36,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Dinoflagellata(0.5648),c:Dinophyceae(0.4105),o:Gymnodiniphycidae(0.3371),f:Kareniaceae(0.2278),g:Karlodinium(0.1403)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Kareniaceae","Karlodinium",NA
"35",37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Annelida(0.1725),c:Polychaeta(0.0948),o:Terebellida(0.0167),f:Unknown_Family_1003328(0.0067),g:Unknown_Genus_1001209(0.0017)","Eukaryota","Annelida","Polychaeta","Terebellida","Unknown_Family_1003328","Unknown_Genus_1001209",NA
"36",38,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,"d:Eukaryota(1.0000),p:Dinoflagellata(0.2717),c:Dinophyceae(0.1635),o:Gymnodiniphycidae(0.0597),f:Gymnodinium_clade(0.0302),g:Gymnodinium(0.0091)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Gymnodinium",NA
"37",39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Annelida(0.3060),c:Polychaeta(0.1961),o:Phyllodocida(0.0597),f:Unknown_Family_1003320(0.0302),g:Unknown_Genus_1001197(0.0091)","Eukaryota","Annelida","Polychaeta","Phyllodocida","Unknown_Family_1003320","Unknown_Genus_1001197",NA
"38",40,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8542),p:Arthropoda(0.2125),c:Chilopoda(0.1026),o:Unknown_Order_1003440(0.0178),f:Unknown_Family_1003441(0.0073),g:Unknown_Genus_1001307(0.0017)","Eukaryota","Arthropoda","Chilopoda","Unknown_Order_1003440","Unknown_Family_1003441","Unknown_Genus_1001307",NA
"39",41,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.6278),c:Diatomea(0.5773),o:Bacillariophytina(0.2150),f:Bacillariophyceae(0.1131),g:Nitzschia(0.0357)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"40",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"d:Eukaryota(0.8542),p:Ochrophyta(0.2392),c:Diatomea(0.1337),o:Coscinodiscophytina(0.0167),f:Fragilariales(0.0067),g:Thalassionema(0.0017)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Thalassionema",NA
"41",43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9220),p:Platyhelminthes(0.2392),c:Rhabditophora(0.1337),o:Rhabdocoela(0.0252),f:Unknown_Family_1003592(0.0117),g:Unknown_Genus_1001513(0.0032)","Eukaryota","Platyhelminthes","Rhabditophora","Rhabdocoela","Unknown_Family_1003592","Unknown_Genus_1001513",NA
"42",44,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Arthropoda(0.2717),c:Arachnida(0.1635),o:Araneae(0.0424),f:Unknown_Family_1003336(0.0209),g:Unknown_Genus_1001216(0.0062)","Eukaryota","Arthropoda","Arachnida","Araneae","Unknown_Family_1003336","Unknown_Genus_1001216",NA
"43",45,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.9786),c:Intramacronucleata(0.9902),o:Spirotrichea(0.9098),f:Oligotrichia(0.8629),g:uncultured_9191(0.1403)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","uncultured_9191",NA
"44",46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Mollusca(0.8111),c:Bivalvia(0.9394),o:Veneroida(0.8298),f:Unknown_Family_1003496(0.9060),g:Unknown_Genus_1001391(0.8635)","Eukaryota","Mollusca","Bivalvia","Veneroida","Unknown_Family_1003496","Unknown_Genus_1001391",NA
"45",47,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.5645),c:Diatomea(0.4105),o:Coscinodiscophytina(0.2323),f:Fragilariales(0.1223),g:Licmophora(0.0357)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"46",48,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Dinoflagellata(0.5646),c:Dinophyceae(0.4661),o:Gymnodiniphycidae(0.3108),f:Gymnodinium_clade(0.2691),g:Spiniferodinium(0.2265)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Spiniferodinium",NA
"47",49,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.7719),c:Diatomea(0.8012),o:Bacillariophytina(0.3022),f:Bacillariophyceae(0.1693),g:Nitzschia(0.0588)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"48",50,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Ochrophyta(0.1458),c:Diatomea(0.0793),o:Bacillariophytina(0.0145),f:Bacillariophyceae(0.0056),g:Nitzschia(0.0015)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"49",51,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9672),p:Arthropoda(0.2392),c:Arachnida(0.1259),o:Araneae(0.0212),f:Unknown_Family_1003336(0.0090),g:Unknown_Genus_1001216(0.0019)","Eukaryota","Arthropoda","Arachnida","Araneae","Unknown_Family_1003336","Unknown_Genus_1001216",NA
"50",52,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6281),p:Annelida(0.1192),c:Polychaeta(0.0637),o:Phyllodocida(0.0123),f:Unknown_Family_1003320(0.0044),g:Unknown_Genus_1001197(0.0014)","Eukaryota","Annelida","Polychaeta","Phyllodocida","Unknown_Family_1003320","Unknown_Genus_1001197",NA
"51",53,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.4428),c:Intramacronucleata(0.3267),o:Spirotrichea(0.2323),f:Hypotrichia(0.0670),g:Holosticha(0.0180)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Holosticha",NA
"52",54,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6733),p:Annelida(0.1325),c:Polychaeta(0.0715),o:Phyllodocida(0.0134),f:Unknown_Family_1003320(0.0050),g:Unknown_Genus_1001197(0.0015)","Eukaryota","Annelida","Polychaeta","Phyllodocida","Unknown_Family_1003320","Unknown_Genus_1001197",NA
"53",55,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,"d:Eukaryota(0.9672),p:Unknown_Phylum_1002968(0.2258),c:Chlorophyceae(0.1181),o:Unknown_Order_1002976(0.0201),f:Unknown_Family_1002977(0.0084),g:Unknown_Genus_1001093(0.0019)","Eukaryota","Unknown_Phylum_1002968","Chlorophyceae","Unknown_Order_1002976","Unknown_Family_1002977","Unknown_Genus_1001093",NA
"54",56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9220),p:Annelida(0.2717),c:Polychaeta(0.1635),o:Unknown_Order_1003322(0.0597),f:Orbiniidae(0.0302),g:Unknown_Genus_1001203(0.0091)","Eukaryota","Annelida","Polychaeta","Unknown_Order_1003322","Orbiniidae","Unknown_Genus_1001203",NA
"55",58,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7638),p:Annelida(0.1592),c:Polychaeta(0.0870),o:Terebellida(0.0156),f:Unknown_Family_1003328(0.0061),g:Unknown_Genus_1001209(0.0016)","Eukaryota","Annelida","Polychaeta","Terebellida","Unknown_Family_1003328","Unknown_Genus_1001209",NA
"56",59,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.2888),c:Diatomea(0.1635),o:Coscinodiscophytina(0.0252),f:Fragilariales(0.0117),g:Licmophora(0.0032)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"57",60,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,"d:Eukaryota(0.6055),p:Dinoflagellata(0.1058),c:Dinophyceae(0.0559),o:Gymnodiniphycidae(0.0112),f:Unknown_Family_1003853(0.0039),g:Gyrodinium(0.0013)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"58",61,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,"d:Eukaryota(0.7638),p:Ochrophyta(0.1858),c:Diatomea(0.1026),o:Bacillariophytina(0.0156),f:Bacillariophyceae(0.0061),g:Nitzschia(0.0015)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"59",62,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,"d:Eukaryota(0.7638),p:Ochrophyta(0.1725),c:Diatomea(0.0870),o:Coscinodiscophytina(0.0156),f:Fragilariales(0.0061),g:Licmophora(0.0016)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"60",63,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.7100),c:Diatomea(0.7732),o:Coscinodiscophytina(0.2803),f:Fragilariales(0.1504),g:Licmophora(0.0507)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"61",64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Annelida(0.4600),c:Polychaeta(0.3431),o:Phyllodocida(0.2495),f:Unknown_Family_1003320(0.1315),g:Unknown_Genus_1001197(0.0426)","Eukaryota","Annelida","Polychaeta","Phyllodocida","Unknown_Family_1003320","Unknown_Genus_1001197",NA
"62",65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,"d:Eukaryota(0.8090),p:Cnidaria(0.1725),c:Hydrozoa(0.0948),o:Trachymedusae(0.0167),f:Unknown_Family_1003277(0.0067),g:Unknown_Genus_1001574(0.0017)","Eukaryota","Cnidaria","Hydrozoa","Trachymedusae","Unknown_Family_1003277","Unknown_Genus_1001574",NA
"63",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,"d:Eukaryota(1.0000),p:Annelida(0.2546),c:Polychaeta(0.1472),o:Eunicida(0.0252),f:Unknown_Family_1003317(0.0117),g:Unknown_Genus_1001194(0.0032)","Eukaryota","Annelida","Polychaeta","Eunicida","Unknown_Family_1003317","Unknown_Genus_1001194",NA
"64",67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,"d:Eukaryota(0.6281),p:Arthropoda(0.1325),c:Insecta(0.0715),o:Orthoptera(0.0112),f:Unknown_Family_1003417(0.0039),g:Unknown_Genus_1001292(0.0013)","Eukaryota","Arthropoda","Insecta","Orthoptera","Unknown_Family_1003417","Unknown_Genus_1001292",NA
"65",68,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.3231),c:Chlorophyceae(0.1961),o:Unknown_Order_1002976(0.0942),f:Unknown_Family_1002977(0.0486),g:Unknown_Genus_1001093(0.0150)","Eukaryota","Unknown_Phylum_1002968","Chlorophyceae","Unknown_Order_1002976","Unknown_Family_1002977","Unknown_Genus_1001093",NA
"66",69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8090),p:Arthropoda(0.1725),c:Arachnida(0.0948),o:Opiliones(0.0167),f:Unknown_Family_1003337(0.0067),g:Unknown_Genus_1001217(0.0017)","Eukaryota","Arthropoda","Arachnida","Opiliones","Unknown_Family_1003337","Unknown_Genus_1001217",NA
"67",70,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.3915),c:Diatomea(0.2778),o:Coscinodiscophytina(0.0769),f:Fragilariales(0.0394),g:Licmophora(0.0121)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"68",72,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8768),p:Brachiopoda(0.1858),c:Unknown_Class_1003448(0.1026),o:Unknown_Order_1003449(0.0178),f:Unknown_Family_1003450(0.0073),g:Unknown_Genus_1001313(0.0017)","Eukaryota","Brachiopoda","Unknown_Class_1003448","Unknown_Order_1003449","Unknown_Family_1003450","Unknown_Genus_1001313",NA
