"","OTU","SAMPLE_123257","SAMPLE_123258","SAMPLE_123259","SAMPLE_123260","SAMPLE_123261","SAMPLE_123262","SAMPLE_123263","SAMPLE_123264","SAMPLE_123265","SAMPLE_123266","SAMPLE_123267","SAMPLE_123268","SAMPLE_123269","SAMPLE_123270","SAMPLE_123271","SAMPLE_123272","SAMPLE_123273","SAMPLE_123274","SAMPLE_123276","SAMPLE_123277","SAMPLE_123278","SAMPLE_123279","SAMPLE_123280","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"34",35,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(1.0000),g:NS5_marine_group(0.9756)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA
"35",36,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(0.9824),g:NS5_marine_group(0.9744)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA
"36",37,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Gammaproteobacteria(0.9778),o:Oceanospirillales(0.9830),f:SAR86_clade(0.9834),g:Unknown_Genus_1000950(0.9764)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86_clade","Unknown_Genus_1000950",NA
"37",38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9646),c:Gammaproteobacteria(0.9410),o:Chromatiales(0.9182),f:Ectothiorhodospiraceae(0.9075),g:Unknown_Genus_1000902(0.9132)","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Unknown_Genus_1000902",NA
"38",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Gammaproteobacteria(0.9786),o:Oceanospirillales(0.9783),f:Oceanospirillaceae(0.9803),g:Neptuniibacter(0.9736)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptuniibacter",NA
"39",40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9705),c:Sphingobacteriia(0.9248),o:Sphingobacteriales(0.8343),f:Saprospiraceae(0.6964),g:uncultured_1272(0.2159)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"40",42,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9230),c:Flavobacteriia(0.9302),o:Flavobacteriales(0.8623),f:Flavobacteriaceae(0.8344),g:Lutibacter(0.1411)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutibacter",NA
"41",43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Alphaproteobacteria(0.9464),o:Rhodobacterales(0.7223),f:Rhodobacteraceae(0.6504),g:Thalassobius(0.1411)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius",NA
"42",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Gracilibacteria(0.7288),c:Unknown_Class_1002391(0.6477),o:Unknown_Order_1002392(0.5786),f:Unknown_Family_1002393(0.3956),g:Unknown_Genus_1000568(0.1118)","Bacteria","Gracilibacteria","Unknown_Class_1002391","Unknown_Order_1002392","Unknown_Family_1002393","Unknown_Genus_1000568",NA
"43",45,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Alphaproteobacteria(0.9786),o:Rhodobacterales(0.9707),f:Rhodobacteraceae(0.9283),g:Tropicibacter(0.4815)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tropicibacter",NA
"44",46,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9949),c:Gammaproteobacteria(0.9797),o:Oceanospirillales(0.9796),f:JL_ETNP_Y6(0.5583),g:Unknown_Genus_1000942(0.4815)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL_ETNP_Y6","Unknown_Genus_1000942",NA
"45",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9685),c:Alphaproteobacteria(0.9775),o:Rhizobiales(0.9826),f:Bradyrhizobiaceae(0.9283),g:Bradyrhizobium(0.7470)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"46",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Gracilibacteria(0.9635),c:Unknown_Class_1002391(0.9797),o:Unknown_Order_1002392(0.9796),f:Unknown_Family_1002393(0.9845),g:Unknown_Genus_1000568(0.9746)","Bacteria","Gracilibacteria","Unknown_Class_1002391","Unknown_Order_1002392","Unknown_Family_1002393","Unknown_Genus_1000568",NA
"47",49,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhodospirillales(1.0000),f:Rhodospirillaceae(1.0000),g:AEGEAN_169_marine_group(1.0000)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN_169_marine_group",NA
"48",50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Alphaproteobacteria(0.9778),o:Caulobacterales(0.9809),f:Hyphomonadaceae(0.9843),g:Robiginitomaculum(0.9132)","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Robiginitomaculum",NA
"49",51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9913),c:Flavobacteriia(0.9848),o:Flavobacteriales(0.9950),f:Flavobacteriaceae(0.9957),g:Lacinutrix(0.4815)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lacinutrix",NA
"50",52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9656),c:Gammaproteobacteria(0.8575),o:Xanthomonadales(0.7503),f:JTB255_marine_benthic_group(0.6964),g:Unknown_Genus_1000984(0.7470)","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255_marine_benthic_group","Unknown_Genus_1000984",NA
"51",53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9738),c:Sphingobacteriia(0.9573),o:Sphingobacteriales(0.9720),f:Saprospiraceae(0.9387),g:uncultured_1272(0.6585)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"52",54,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9770),c:Betaproteobacteria(0.9627),o:Methylophilales(0.8343),f:Methylophilaceae(0.8344),g:OM43_clade(0.8663)","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43_clade",NA
"53",55,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9931),c:Alphaproteobacteria(0.9873),o:Caulobacterales(0.9809),f:Hyphomonadaceae(0.9843),g:Litorimonas(0.5700)","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Litorimonas",NA
"54",56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.7206),c:Sphingobacteriia(0.5474),o:Sphingobacteriales(0.3172),f:S15_21(0.1402),g:Unknown_Genus_1000338(0.0104)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","S15_21","Unknown_Genus_1000338",NA
"55",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9672),c:Alphaproteobacteria(0.9782),o:Rhodobacterales(0.9771),f:Rhodobacteraceae(0.9803),g:Pseudophaeobacter(0.9132)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"56",58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9738),c:Cytophagia(0.9775),o:Cytophagales(0.9834),f:Flammeovirgaceae(0.9845),g:uncultured_1059(0.9741)","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","uncultured_1059",NA
"57",60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Chlorobi(0.9635),c:Ignavibacteria(0.9797),o:Ignavibacteriales(0.9796),f:Ignavibacteriaceae(0.7424),g:Ignavibacterium(0.8194)","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium",NA
"58",61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9949),c:Deltaproteobacteria(0.9904),o:Desulfobacterales(0.9832),f:Desulfobacteraceae(0.9831),g:Sva0081_sediment_group(0.9132)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081_sediment_group",NA
"59",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9840),c:Flavobacteriia(0.9835),o:Flavobacteriales(0.9909),f:Flavobacteriaceae(0.9841),g:Flavobacterium(0.9367)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"60",63,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rickettsiales(1.0000),f:SAR116_clade(1.0000),g:Unknown_Genus_1000731(1.0000)","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116_clade","Unknown_Genus_1000731",NA
"61",64,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Gammaproteobacteria(0.9790),o:Thiotrichales(0.9809),f:Thiotrichaceae(0.9843),g:Leucothrix(0.9734)","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix",NA
"62",65,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9592),c:Flavobacteriia(0.9681),o:Flavobacteriales(0.9745),f:Flavobacteriaceae(0.9595),g:Aquibacter(0.3930)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquibacter",NA
"63",66,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Gammaproteobacteria(0.9248),o:Alteromonadales(0.7783),f:Alteromonadaceae(0.7424),g:Glaciecola(0.0533)","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola",NA
"64",67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9230),c:Flavobacteriia(0.9302),o:Flavobacteriales(0.8623),f:Flavobacteriaceae(0.8344),g:Ulvibacter(0.1118)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ulvibacter",NA
"65",68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9550),c:Sphingobacteriia(0.9248),o:Sphingobacteriales(0.8343),f:Saprospiraceae(0.7884),g:uncultured_1272(0.3930)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
